date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,no,no2,nox,so2,casos_total,poblacio_total,incidencia_1000
2012-01-25,1.16875,230.25,77.9791666666667,987.5625,115.208333333333,8.42916666666667,15.2,3.5,0,72.96,63.67,174.71,3.62,22,13718,1.60373232249599
2012-01-26,0.8875,224.479166666667,83.3125,991.1625,40.0625,8.53333333333333,11.6,6.5,0,116.38,67,244.42,4.17,31,15279,2.02892859480332
2012-01-27,0.945833333333333,263.541666666667,88.1041666666667,992.152083333333,25.125,6.9125,8.2,3.9,1.3,34.46,40.67,93.12,2.62,23,16011,1.43651239772656
2012-01-28,1.86041666666667,290.0625,69.2291666666667,987.270833333333,99.1041666666667,4.89166666666667,10.3,0.8,0,20.5,37.25,68,2.75,3,2848,1.05337078651685
2012-01-29,1.71041666666667,271.729166666667,40.125,990.575,144.958333333333,5.95416666666667,11.1,1.7,0,65.25,56.83,156.33,3.83,0,0,NA
2012-01-30,1.73125,256.145833333333,55.1666666666667,986.764583333333,76.4791666666667,5.975,10.3,2.8,0,66.5,61.71,163.25,4.46,29,12136,2.38958470665788
2012-01-31,0.895833333333333,158.0625,92.4791666666667,982.235416666667,12.4375,4.36666666666667,6,2.2,9.8,98.5,66.71,216.88,3.75,30,16065,1.86741363211951
2012-02-01,1.43958333333333,294.375,82.3125,981.279166666667,40.1041666666667,1.03333333333333,1.9,-0.1,0.9,25.5,44.83,83.29,1.79,23,12859,1.7886305311455
2012-02-02,2.71458333333333,319.875,52.3125,986.660416666667,145.8125,-0.21875,3.6,-3,0,26.83,42.88,83.29,2.25,31,15339,2.02099224199752
2012-02-03,3.075,292.229166666667,27.5,991.708333333333,157.854166666667,0.59375,5.8,-2.3,0,8.67,32.96,45.88,1.88,15,6417,2.33754090696587
2012-02-04,1.90833333333333,228.645833333333,50.0625,991.754166666666,55.6458333333333,1.52916666666667,5.8,-1.1,0,19.29,54.29,83.5,3.71,11,6375,1.72549019607843
2012-02-05,1.5875,244,45.0833333333333,989.152083333333,158.708333333333,4.96041666666667,13.1,-2.1,0,56.5,58.73,144.91,4.7,3,1663,1.80396873120866
2012-02-06,3.14791666666667,269.416666666667,18.4583333333333,984.475,163.979166666667,5.75,11.4,2.4,0,69.12,59.71,116.55,4.54,36,18338,1.9631366561239
2012-02-07,2.15416666666667,328.895833333333,23.1875,990.783333333333,114.145833333333,2.5875,6,-0.7,0,30.58,54,100.46,1.88,35,18703,1.87135753622414
2012-02-08,2.71666666666667,313.166666666667,45.3333333333333,993.672916666667,159.020833333333,3.68541666666667,9.4,-1.2,0,15.92,38.71,62.67,2,34,14720,2.30978260869565
2012-02-09,2.05833333333333,240.229166666667,47.9791666666667,988.058333333333,162.333333333333,5.49375,12.3,1.5,0,30.96,44.08,90.83,3.25,31,14644,2.11690794864791
2012-02-10,3.27916666666667,254.333333333333,33.6875,987.066666666667,173.791666666667,3.70208333333333,8.5,-0.6,0,12.67,37.42,56.58,2.71,27,13888,1.94412442396313
2012-02-11,1.9,251.583333333333,53.2916666666667,989.185416666667,170.041666666667,1.61041666666667,7.1,-1.5,0,11.04,37.58,54.5,2.83,3,1566,1.91570881226054
2012-02-12,1.95625,277.458333333333,34.7708333333333,990.133333333333,169.125,3.54583333333333,9.6,-2.1,0,54.5,61.38,144.17,3.5,10,6297,1.58805780530411
2012-02-13,1.36458333333333,232.083333333333,56.4375,987.097916666667,114.416666666667,5.29583333333333,11.9,0.6,0,43.54,59.71,126.08,3.92,54,29245,1.84646948196273
2012-02-14,2.11875,304.770833333333,51.0416666666667,990.702083333333,174.3125,6.59583333333333,13.2,1.7,0,48.92,53.83,127.96,3.25,34,18376,1.85023944275141
2012-02-15,1.66666666666667,287.291666666667,50.5625,989.45625,175.9375,9.25208333333333,16.2,3.9,0,47.62,56.17,128.75,5,38,20030,1.8971542685971
2012-02-16,1.37291666666667,193.520833333333,76.3541666666667,993.283333333334,81.7916666666667,8.19583333333334,11.9,4.9,0,44.33,56.21,123.54,5.42,38,20281,1.87367486810315
2012-02-17,1.85208333333333,247.416666666667,72.0416666666667,990.577083333334,170.208333333333,8.31666666666667,14.7,4.3,0,32.71,43.29,92.88,3.75,28,14964,1.87115744453355
2012-02-18,1.15625,227.375,81.9166666666667,990.637499999999,77.75,7.275,12.3,3.4,0.2,14.17,36.96,58.46,2.08,20,14179,1.41053670921786
2012-02-19,1.65416666666667,275.958333333333,50.3333333333333,993.541666666667,187.333333333333,7.75,13.7,4.7,0,30.58,48.5,94.88,1.83,7,6253,1.1194626579242
2012-02-20,1.41458333333333,228.270833333333,58.25,996.5125,181.958333333333,6.52291666666667,14,0.6,0,65.58,64.38,164.33,3.29,43,22926,1.87559975573585
2012-02-21,1.2375,224.9375,31.6875,995.29375,188.3125,10.125,17.3,4.6,0,60.21,71.83,163.54,4.92,34,21111,1.61053479228838
2012-02-22,1.49166666666667,261.8125,21.9375,995.56875,193.208333333333,12.9,20.7,5.7,0,38.14,66.86,124.82,5.14,39,17820,2.18855218855219
2012-02-23,1.5375,237.1875,31.4166666666667,996,183.354166666667,13.0416666666667,20.4,7.6,0,50.54,85.62,162.46,7.58,35,19250,1.81818181818182
2012-02-24,1.43125,221.708333333333,39.5208333333333,991.247916666667,180.354166666667,13.25,20.1,7.2,0,42.21,76.04,140.08,6.12,28,13330,2.10052513128282
2012-02-25,1.15833333333333,203.8125,53.0416666666667,986.822916666667,191.8125,14.6666666666667,23.2,9.5,0,18.62,63.88,91.83,4.62,4,2659,1.50432493418578
2012-02-26,1.8375,260.020833333333,75.1875,992.316666666667,164.208333333333,11.3083333333333,17.5,8.5,0,58.21,62.17,150.67,3.08,4,3275,1.22137404580153
